speaker,occupation,about_speaker,language
Sebastian Wernicke,{0: ['data scientist']},"{0: 'After making a splash in the field of bioinformatics, Sebastian Wernicke moved on to the corporate sphere, where he motivates and manages multidimensional projects.'}",en
Esther Duflo,{0: ['development economist']},{0: 'Esther Duflo takes economics out of the lab and into the field to discover the causes of poverty and means to eradicate it.'},en
Simon Sinek,{0: ['leadership expert']},"{0: 'Simon Sinek explores how leaders can inspire cooperation, trust and change. He\'s the author of the classic ""Start With Why""; his latest book is ""Leaders Eat Last.""'}",en
Jeremy Jackson,{0: ['marine ecologist']},"{0: 'A leader in the study of the ecology and evolution of marine organisms, Jeremy Jackson  is known for his deep understanding of geological time.'}",en
Anil Gupta,{0: ['innovation advocate']},"{0: 'Anil Gupta created the Honey Bee Network to support grassroots innovators who are rich in knowledge, but not in resources.'}",en
Thomas Dolby,"{0: ['electronic music pioneer'], 1: ['string quartet']}","{0: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""', 1: 'Ethel is, perhaps, the first 21st-century realization of the classical string quartet. '}",en
Nicholas Christakis,"{0: ['physician', 'social scientist']}","{0: 'Nicholas Christakis explores how the large-scale, face-to-face social networks in which we are embedded affect our lives, and what we can do to take advantage of this fact.'}",en
Nathan Myhrvold,{0: ['polymath']},"{0: ""Nathan Myhrvold is a professional jack-of-all-trades. After leaving Microsoft in 1999, he's been a world barbecue champion, a wildlife photographer, a chef, a contributor to SETI, and a volcano explorer.""}",en
Enric Sala,{0: ['marine ecologist']},{0: 'Dr. Enric Sala is a former university professor who saw himself writing the obituary of ocean life and quit academia to become a full-time conservationist as a National Geographic Explorer-in-Residence.'},en
Dan Meyer,{0: ['educator']},{0: 'Dan Meyer is exploring the way we teach teachers to teach kids.'},en
Julia Sweeney,"{0: ['actor', 'comedian', 'playwright']}","{0: 'Julia Sweeney creates comedic works that tackle deep issues like cancer, family and faith.'}",en
William Li,{0: ['cancer researcher']},"{0: 'William Li heads the Angiogenesis Foundation, a nonprofit that is re-conceptualizing global disease fighting.'}",en
Graham Hill,{0: ['journalist']},{0: 'Graham Hill is the founder of TreeHugger.com and LifeEdited; he travels the world to tell stories of sustainability and minimalism. He tweets at @GHill.'},en
Dee Boersma,{0: ['conservation biologist']},"{0: 'Dee Boersma considers penguins ocean sentinels, helping us understand the effects of pollution, overfishing and climate change on the marine environment. '}",en
Richard Sears,{0: ['geophysicist']},"{0: ""Richard Sears thinks hard about the post-oil world. He's a visiting scientist at MIT, after a long career as a VP at Shell.""}",en
Craig Venter,"{0: ['biologist', 'genetics pioneer']}","{0: ""In 2001, Craig Venter made headlines for sequencing the human genome. In 2003, he started mapping the ocean's biodiversity. And now he's created the first synthetic lifeforms -- microorganisms that can produce alternative fuels.""}",en
Sir Ken Robinson,"{0: ['author', 'educator']}","{0: ""Creativity expert Sir Ken Robinson challenges the way we're educating our children. He champions a radical rethink of our school systems, to cultivate creativity and acknowledge multiple types of intelligence. ""}",en
Johanna Blakley,{0: ['media maven']},{0: 'Johanna Blakley studies the impact of mass media and entertainment on our world.'},en
Sharmeen Obaid-Chinoy,"{0: ['director', 'journalist']}",{0: 'TED Fellow Sharmeen Obaid-Chinoy seeks to push people to have difficult conversations about inequality and injustice.'},en
Seth Berkley,{0: ['vaccine visionary']},"{0: 'Epidemiologist Seth Berkley is leading the charge to make sure vaccines are available to everyone, including those living in the developing world.'}",en
Lawrence Lessig,{0: ['legal activist']},"{0: ""Lawrence Lessig has already transformed intellectual-property law with his Creative Commons innovation. Now he's focused on an even bigger problem: The US' broken political system.""}",en
John Underkoffler,{0: ['interface designer']},"{0: ""Remember the data interface from Minority Report? Well, it's real, John Underkoffler invented it -- as a point-and-touch interface called g-speak -- and it's about to change the way we interact with data.""}",en
Brian Skerry,{0: ['photographer']},{0: 'Brian Skerry is a photojournalist who captures images that not only celebrate the mystery and beauty of the sea but also bring attention to the pressing issue which endanger our oceans.'},en
"Christopher ""moot"" Poole","{0: ['founder', '4chan']}","{0: 'Christopher ""moot"" Poole is founder of 4chan, an online imageboard whose anonymous denizens have spawned the web\'s most bewildering -- and influential -- subculture.'}",en
Brian Cox,{0: ['physicist']},"{0: ""Physicist Brian Cox has two jobs: working with the Large Hadron Collider at CERN, and explaining big science to the general public. He's a professor at the University of Manchester.""}",en
Adam Sadowsky,{0: ['creative entrepreneur']},"{0: 'As the president of Syyn Labs, Adam Sadowsky merges art and technology to create interactive projects big and small. '}",en
Michael Sandel,{0: ['political philosopher']},"{0: 'Michael Sandel teaches political philosophy at Harvard, exploring some of the most hotly contested moral and political issues of our time.'}",en
John Kasaona,{0: ['conservationist']},{0: 'John Kasaona is a pioneer of community-based conservation -- working with the people who use and live on fragile land to enlist them in protecting it.'},en
Rory Sutherland,{0: ['advertising guru']},"{0: 'Rory Sutherland stands at the center of an advertising revolution in brand identities, designing cutting-edge, interactive campaigns that blur the line between ad and entertainment.'}",en
Stewart Brand,"{0: ['environmentalist', 'futurist'], 1: ['civil and environmental engineer']}","{0: ""Since the counterculture '60s, Stewart Brand has been creating our internet-worked world. Now, with biotech accelerating four times faster than digital technology, Stewart Brand has a bold new plan ..."", 1: 'At Stanford, Mark Z. Jacobson uses numerical models to study the effects of energy systems and vehicles on climate and air pollution, and to analyze renewable energy resources.'}",en
David Byrne,"{0: ['musician', 'artist', 'writer']}","{0: 'David Byrne builds an idiosyncratic world of music, art, writing and film.'}",en
Michael Shermer,{0: ['skeptic']},"{0: ""Michael Shermer debunks myths, superstitions and urban legends -- and explains why we believe them. Along with publishing Skeptic Magazine, he's author of Why People Believe Weird Things and The Mind of the Market.""}",en
Margaret Gould Stewart,{0: ['user experience master']},"{0: ""At Facebook (and previously at YouTube), Margaret Gould Stewart designs experiences that touch the lives of a large percentage of the world's population.""}",en
Peter Tyack,{0: ['behavioral ecologist']},"{0: 'Peter Tyack studies the social behavior and acoustic communication in whales and dolphins, learning how these animals use sound to perform critical activities, such as mating and locating food.'}",en
Cameron Herold,{0: ['entrepreneur']},"{0: 'An entrepreneur since childhood, Cameron Herold wants parents and teachers to recognize -- and foster -- entrepreneurial talent in kids.'}",en
Ananda Shankar Jayant,{0: ['dancer and choreographer']},"{0: 'With precision and sparkling grace, Ananda Shankar Jayant performs and teaches the classical dance styles of Bharatanatyam and Kuchipudi.'}",en
Chip Conley,"{0: ['hospitality entrepreneur', 'author']}",{0: 'Chip Conley disrupted the hospitality industry -- twice.'},en
Marian Bantjes,"{0: ['designer', 'illustrator', 'typographer']}","{0: 'At the intersection of word and form, Marian Bantjes makes her art.'}",en
Charles Leadbeater,{0: ['innovation consultant']},"{0: 'A researcher at the London think tank Demos, Charles Leadbeater was early to notice the rise of ""amateur innovation"" -- great ideas from outside the traditional walls, from people who suddenly have the tools to collaborate, innovate and make their expertise known.'}",en
Aditi Shankardass,{0: ['neuroscientist']},{0: 'Aditi Shankardass is pioneering the use of EEG technology to give children with developmental disorders their most accurate diagnosis.'},en
Hillel Cooperman,"{0: ['entrepreneur', 'lego enthusiast']}","{0: ""When Hillel Cooperman isn't running his startup or seeking out the world's best food, he's investigating the secret underground world of Lego toys.""}",en
Clay Shirky,{0: ['social media theorist']},"{0: 'Clay Shirky argues that the history of the modern world could be rendered as the history of ways of arguing, where changes in media change what sort of arguments are possible -- with deep social and political implications.'}",en
Ellen Dunham-Jones,{0: ['architect']},{0: 'Ellen Dunham-Jones takes an unblinking look at our underperforming suburbs -- and proposes plans for making them livable and sustainable.'},en
Stephen Palumbi,{0: ['marine biologist']},{0: 'Stephen Palumbi studies the way humanity and ocean life interact and intertwine. His insights into our codependence offer ideas for protecting both the ocean and ourselves.'},en
Carter Emmart,"{0: ['scientist', 'artist']}","{0: 'Carter Emmart uses astronomy and computational modeling to create scientifically accurate, three-dimensional tours of our universe. '}",en
Mitchell Joachim,"{0: ['architect', 'designer']}","{0: ""Soft cars, jet packs and houses made of meat are all in a day's work for urban designer, architect and TED Fellow Mitchell Joachim.""}",en
Benoit Mandelbrot,{0: ['mathematician']},"{0: ""Benoit Mandelbrot's work led the world to a deeper understanding of fractals, a broad and powerful tool in the study of roughness, both in nature and in humanity's works.""}",en
Ellen Gustafson,{0: ['social entrepreneur']},"{0: 'Co-founder of FEED and creator of The 30 Project, Ellen Gustafson is trying to change the way the world eats.'}",en
Nalini Nadkarni,{0: ['tree researcher']},"{0: 'Called ""the queen of canopy research,"" Nalini Nadkarni explores the rich, vital world found in the tops of trees. She communicates what she finds to non-scientists -- with the help of poets, preachers and prisoners.'}",en
Hans Rosling,{0: ['global health expert; data visionary']},"{0: 'In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus.'}",en
Carl Safina,"{0: ['ecologist', 'writer']}","{0: ""Carl Safina's writing explores the scientific, moral and social dimensions of our relationship with nature.""}",en
Matt Ridley,{0: ['rational optimist']},"{0: 'Matt Ridley argues that, through history, the engine of human progress and prosperity has been, and is, ""ideas having sex with each other.""'}",en
Ethan Zuckerman,"{0: ['blogger', 'digital visionary']}","{0: 'Ethan Zuckerman studies how the world -- the whole world -- uses new media to share information and moods across cultures, languages and platforms.'}",en
Elif Shafak,{0: ['novelist']},"{0: ""Elif Shafak explicitly defies definition -- her writing blends East and West, feminism and tradition, the local and the global, Sufism and rationalism, creating one of today's most unique voices in literature.""}",en
Julian Assange,{0: ['internet activist']},{0: 'Julian Assange serves as spokesperson for WikiLeaks.'},en
Naif Al-Mutawa,"{0: ['creator', 'the 99']}",{0: 'Naif Al-Mutawa has created a group of comic superheroes based on Islamic culture and religion. They derive their superpowers from the 99 attributes of Allah.'},en
Dimitar Sasselov,{0: ['astronomer']},{0: 'Dimitar Sasselov works on uniting the physical and life sciences in the hunt for answers to the question of how life began.'},en
Tan Le,{0: ['entrepreneur']},"{0: ""Tan Le is the founder & CEO of Emotiv, a bioinformatics company that's working on identifying biomarkers for mental and other neurological conditions using electroencephalography (EEG).""}",en
Kevin Stone,"{0: ['surgeon', 'inventor']}","{0: ""Kevin Stone's clinic treats joint injury using the latest in bio-medicine: reconstructing damaged tissue, even replacing whole joint parts, with lab-grown cartilage and ligament.""}",en
Sheena Iyengar,{0: ['psycho-economist']},"{0: ""Sheena Iyengar studies how people choose (and what makes us think we're good at it).""}",en
John Delaney,{0: ['oceanographer']},"{0: ""John Delaney leads the team that is building a cabled network of deep-ocean sensors that will study, over time and space, the way the ocean's complex processes interact. By networking the ocean to gather data, he's helping to revolutionize ocean science.""}",en
Laurie Santos,{0: ['cognitive psychologist']},"{0: 'Laurie Santos studies primate psychology and monkeynomics -- testing problems in human psychology on primates, who (not so surprisingly) have many of the same predictable irrationalities we do.'}",en
Lewis Pugh,{0: ['coldwater swimmer']},"{0: ""Pushing his body through epic cold-water swims, Lewis Gordon Pugh wants to draw attention to our global climate. He's just back from swimming in a meltwater lake on the slopes of Mount Everest. ""}",en
Jason Clay,{0: ['market transformer']},"{0: 'Jason Clay’s ideas are changing the way governments, foundations, researchers and NGOs identify and address risks and opportunities for their work.'}",en
Sheryl WuDunn,"{0: ['author', 'journalist']}","{0: 'As a journalist reporting on China, Sheryl WuDunn saw the everyday oppression of women around the world. She and Nick Kristof wrote ""Half the Sky,"" chronicling women\'s stories of horror and, especially, hope.'}",en
Peter Molyneux,{0: ['game changer']},"{0: 'The head of Microsoft\'s European games division, Peter Molyneux is building an astonishing new ""virtual friend"" who interacts with you.'}",en
Jamil Abu-Wardeh,{0: ['producer']},{0: 'Jamil Abu-Wardeh believes in the community-building power of a shared laugh -- especially in Arabic. He jumpstarted the Dubai standup comedy scene and produced the Axis of Evil Middle East Comedy Tour.'},en
Maz Jobrani,{0: ['comedian']},"{0: 'A founding member of the Axis of Evil Comedy Tour, Iranian-American comedian Maz Jobrani is now touring with his second solo comedy show, Browner and Friendlier.'}",en
Seth Priebatsch,{0: ['entrepreneur']},"{0: '""Proud Princeton dropout"" Seth Priebatsch runs SCVNGR, a mobile start-up trying to build the game layer on top of the world.'}",en
David McCandless,{0: ['data journalist']},{0: 'David McCandless draws beautiful conclusions from complex datasets -- thus revealing unexpected insights into our world.'},en
Robert Lee Hotz,{0: ['journalist']},"{0: 'Robert Lee Hotz is the science columnist for the Wall Street Journal, where he writes about cutting-edge research on climate change, cosmology, molecular medicine, the human brain and much more ... He has traveled three times to the South Pole.'}",en
Jim Toomey,{0: ['cartoonist']},"{0: 'For the past 13 years, Jim Toomey has been writing and drawing the daily comic strip Sherman’s Lagoon, about a daffy family of ocean dwellers.'}",en
Lisa Margonelli,{0: ['writer']},"{0: 'Director of the New America Foundation Energy Policy Initiative, Lisa Margonelli writes about the global culture and economy of energy.'}",en
Dan Cobley,{0: ['online marketing whiz']},"{0: 'Dan Cobley is a marketing director at Google, where he connects customers and businesses, helping both navigate digital space to find what they need.  '}",en
Nic Marks,{0: ['happiness researcher']},"{0: ""Nic Marks gathers evidence about what makes us happy, and uses it to promote policy that puts the well-being of people and the planet first. He's the founder of the Centre for Well-Being at the UK think tank New Economics Foundation (NEF).""}",en
Johan Rockstrom,{0: ['sustainability expert']},{0: 'Johan Rockström works to redefine sustainable development.'},en
His Holiness the Karmapa,{0: ['spiritual leader']},"{0: 'Ogyen Trinley Dorje is the 17th Gyalwang Karmapa, a revered figure in Tibetan Buddhism devoted to preserving and propagating Buddhist teachings.'}",en
Derek Sivers,{0: ['entrepreneur']},"{0: 'Through his new project, MuckWork, Derek Sivers wants to lessen the burdens (and boredom) of creative people.'}",en
Rachel Sussman,"{0: ['artist', 'photographer']}","{0: 'Rachel Sussman is on a quest to celebrate the resilience of life by identifying and photographing continuous-living organisms that are 2,000 years or older, all around the world.'}",en
Sugata Mitra,{0: ['education researcher']},"{0: 'Educational researcher Sugata Mitra is the winner of the 2013 TED Prize. His wish: Build a School in the Cloud, where children can explore and learn from one another.'}",en
Alwar Balasubramaniam,{0: ['artist']},"{0: 'Sculptor, painter and printmaker Alwar Balasubramaniam makes work that crosses the boundary between art, perception and life.'}",en
Carne Ross,{0: ['diplomat']},"{0: 'Carne Ross is the founder of Independent Diplomat, a nonprofit that offers freelance diplomatic representation to small, developing and yet-unrecognized nations in the complex world of international negotiations.'}",en
Ben Cameron,{0: ['arts administrator']},"{0: 'Ben Cameron runs the arts granting program at the Doris Duke Foundation, focusing on live theater, dance and jazz.'}",en
Rob Dunbar,"{0: ['oceanographer', 'biogeochemist']}","{0: 'Rob Dunbar looks deeply at ancient corals and sediments to study how the climate and the oceans have shifted over the past 50 to 12,000 years -- and how the Antarctic ecosystem is changing right now.'}",en
Chris Anderson,{0: ['head of ted']},"{0: 'After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.'}",en
Jessa Gamble,{0: ['writer']},"{0: 'Jessa Gamble writes about sleep and time, showing how our internal body clock struggles against our always-on global culture.'}",en
Nicholas Christakis,"{0: ['physician', 'social scientist']}","{0: 'Nicholas Christakis explores how the large-scale, face-to-face social networks in which we are embedded affect our lives, and what we can do to take advantage of this fact.'}",en
Caroline Phillips,{0: ['musician']},"{0: ""Caroline Phillips' rich, soprano voice conjures up the far-and-wide cultures of the world, especially the sound and language of the Basque Country.""}",en
Christien Meindertsma,{0: ['artist']},{0: 'Christien Meindertsma uses art (and craft) to expose the hidden processes and connections of our modern life.'},en
Steven Johnson,{0: ['writer']},"{0: 'Steven Berlin Johnson examines the intersection of science, technology and personal experience.'}",en
Mitchell Besser,{0: ['hiv/aids fighter']},"{0: 'How can mothers with HIV avoid passing it to their kids? In South Africa, Mitchell Besser tapped a new resource for healthcare: moms themselves. The program he started, mothers2mothers, trains new mothers to educate and support other moms.'}",en
Annie Lennox,"{0: ['activist', 'singer-songwriter']}","{0: 'The most successful female British pop musician in history, Annie Lennox has now committed herself to raising awareness of, and supporting actions against, the HIV/AIDS crisis in Africa.'}",en
Fabian Hemmert,{0: ['designer']},"{0: ""Fabian Hemmert is a design professor, driven by the belief that we shouldn't sacrifice our humanness for the sake of technology.""}",en
Julian Treasure,{0: ['sound consultant']},{0: 'Julian Treasure studies sound and advises businesses on how best to use it.'},en
Gary Wolf,{0: ['journalist']},"{0: ""Journalist Gary Wolf spends his days in pursuit of the most fascinating things. As a contributing editor at Wired, he's written about technology, mushroom hunters, venture capitalists ...""}",en
Sebastian Seung,{0: ['computational neuroscientist']},"{0: 'Sebastian Seung is a leader in the new field of connectomics, currently the hottest space in neuroscience, which studies, in once-impossible detail, the wiring of the brain.'}",en
Inge Missmahl,{0: ['analytical psychologist']},"{0: 'By building psychosocial care into the primary health care system in Afghanistan, Inge Missmahl offers hope to a society traumatized by decades of conflict and insecurity.'}",en
Mechai Viravaidya,{0: ['public health expert']},"{0: 'Since 1974, Mechai Viravaidya has been creating and running innovative family planning and poverty reduction programs throughout Southeast Asia. '}",en
Eben Bayer,{0: ['green designer']},"{0: ""Eben Bayer is co-inventor of MycoBond, an organic (really -- it's based on mycelium, a living, growing organism) adhesive that turns agriwaste into a foam-like material for packaging and insulation.""}",en
Tim Jackson,{0: ['economist']},"{0: 'Tim Jackson is a British ecological economist and professor for sustainable development at the University of Surrey. He is the author of ""Prosperity without Growth"" and director of the Centre for the Understanding of Sustainable Prosperity.'}",en
Barbara Block,{0: ['marine biologist']},"{0: 'Barbara Block studies how tuna, billfish and sharks move around (and stay warm) in the open ocean. Knowing how these large predators travel through pelagic waters will help us understand their role in the wider ocean ecosystem.'}",en
Hans Rosling,{0: ['global health expert; data visionary']},"{0: 'In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus.'}",en
Stacey Kramer,{0: ['brand strategist']},{0: 'Stacey Kramer has traveled the United States and the world helping to create names and brands for growing companies.'},en
Stefano Mancuso,{0: ['plant neurobiologist']},"{0: 'Stefano Mancuso is a founder of the study of plant neurobiology, which explores signaling and communication at all levels of biological organization, from genetics to molecules, cells and ecological communities.'}",en
Melinda Gates,{0: ['philanthropist']},"{0: 'Melinda French Gates is co-chair of the Bill & Melinda Gates Foundation, where she puts into practice the idea that every life has equal value.'}",en
Peter Haas,{0: ['building activist']},"{0: 'Inveterate tinkerer Peter Haas is the co-founder of AIDG, the Appropriate Infrastructure Development Group, which connect people to electricity, sanitation and clean water through a combination of business incubation, education, and outreach.'}",en
Natalie Jeremijenko,{0: ['artist and engineer']},"{0: 'Natalie Jeremijenko blends art, engineering, environmentalism, biochemistry and more to create real-life experiments that enable social change. '}",en
Ze Frank,{0: ['web humorist']},"{0: 'Ze Frank has been involved in online comedy, web toys and virtually shared experiences for the past 20 years as an influencer, performer, executive and mischief maker.'}",en
Jessica Jackley,{0: ['microlender']},"{0: 'Jessica Jackley is the co-founder of Kiva.org, an online community that helps individuals loan small amounts of money, called microloans, to entrepreneurs throughout the world.'}",en
Heribert Watzke,{0: ['food scientist']},{0: 'Heribert Watzke studies the brain in our gut -- and works to develop new kinds of food that will satisfy our bodies and minds.'},en
Dianna Cohen,{0: ['artist and activist']},"{0: 'Dianna Cohen co-founded the Plastic Pollution Coalition, which is working to help end our cycle of plastics use.'}",en
Patrick Chappatte,{0: ['editorial cartoonist']},"{0: ""With simple lines and pointed jokes that skewer injustice, Patrick Chappatte's editorial cartoons view the tragic, the farcical and the absurd through a lens of unfettered humor.""}",en
Thomas Dolby,"{0: ['electronic music pioneer'], 1: ['string quartet'], 2: ['musician', 'artist', 'writer']}","{0: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""', 1: 'Ethel is, perhaps, the first 21st-century realization of the classical string quartet. ', 2: 'David Byrne builds an idiosyncratic world of music, art, writing and film.'}",en
R.A. Mashelkar,"{0: ['scientist', 'innovator']}","{0: 'Using a principle he calls “convex lens leadership,” R.A. Mashelkar’s vision has catapulted india’s talent for science and innovation onto the international stage.'}",en
Joseph Nye,{0: ['diplomat']},"{0: ""The former assistant secretary of defense and former dean of Harvard's Kennedy School of Government, Joseph Nye offers sharp insights into the way nations take and cede power.""}",en
Barton Seaver,{0: ['chef']},{0: 'Barton Seaver is an advocate of sustainable seafood and a chef in Washington DC. His work tells the story of our common resources through the communion we all share – dinner.'},en
Shimon Steinberg,{0: ['entomologist']},"{0: ""Shimon Steinberg's biotech lab researches ways to harness the natural benefits of insects on a massive scale.""}",en
Miwa Matreyek,{0: ['multimedia artist']},"{0: 'Miwa Matreyek creates performances where real shapes and virtual images trade places, amid layers of animation, video and live bodies.'}",en
Tom Chatfield,{0: ['gaming theorist']},"{0: ""Tom Chatfield thinks about games -- what we want from them, what we get from them, and how we might use our hard-wired desire for a gamer's reward to change the way we learn.""}",en
David Bismark,{0: ['voting system designer']},{0: 'David Bismark has co-developed an electronic voting system that contains a simple and reliable method of verification.'},en
Gero Miesenboeck,{0: ['optogeneticist']},"{0: 'Using light and a little genetic engineering -- optogenetics -- Gero Miesenboeck has developed a way to control how living nerve cells work, and advanced understanding of how the brain controls behavior.'}",en
Greg Stone,{0: ['oceanographer']},{0: 'Greg Stone was a key driver in the establishment of the Phoenix Island Protected Area in the island nation of Kiribati. The second-largest marine protected area in the world -- and one of the most pristine -- PIPA is a laboratory for exploring and monitoring the recovery of coral reefs from bleaching events.'},en
Andrew Bird,{0: ['musician']},"{0: 'Andrew Bird is a virtual one-man band -- he’s a singer and songwriter and plays the violin, guitar, glockenspiel.'}",en
Emily Pilloton,{0: ['humanitarian design activist']},"{0: ""Emily Pilloton wrote Design Revolution, a book about 100-plus objects and systems designed to make people's lives better. In 2010, her design nonprofit began an immersive residency in Bertie County, North Carolina, the poorest and most rural county in the state.""}",en
Stefan Wolff,{0: ['ethnic conflicts scholar']},"{0: 'Stefan Wolff studies contemporary conflicts, focusing on the prevention and settlement of ethnic conflicts and in postconflict reconstruction in deeply divided and war-torn societies.'}",en
Aaron Huey,{0: ['photographer']},"{0: 'Photographer, adventurer and storyteller Aaron Huey captures all of his subjects -- from war victims to rock climbers to Sufi dervishes -- with elegance and fearless sensitivity.'}",en
Auret van Heerden,{0: ['labor-rights activist']},"{0: ""At the head of the Fair Labor Association (FLA), Auret van Heerden takes a practical approach to workers' rights, persuading corporations and NGOs to protect labor in global supply chains.""}",en
Eric Berlow,{0: ['ecologist']},"{0: 'TED Senior Fellow Eric Berlow studies ecology and networks, exposing the interconnectedness of our ecosystems with climate change, government, corporations and more.  '}",en
Conrad Wolfram,{0: ['mathematician']},"{0: 'Conrad Wolfram runs the worldwide arm of Wolfram Research, the mathematical lab behind the cutting-edge knowledge engine Wolfram Alpha.'}",en
Denis Dutton,{0: ['philosopher']},"{0: 'Denis Dutton was a philosophy professor and the editor of Arts & Letters Daily. In his book The Art Instinct, he suggested that humans are hard-wired to seek beauty.'}",en
Shimon Schocken,"{0: ['computer scientist', 'educator']}",{0: 'Shimon Schocken is a computer science professor and dedicated educator.'},en
John Hardy,"{0: ['designer', 'educator']}","{0: 'Jewelry designer John Hardy co-founded the extraordinary Green School in Bali, where kids get a holistic and green education.'}",en
Kristina Gjerde,{0: ['high seas policy advisor']},"{0: ""Kristina Gjerde is an expert on the law of the high seas -- the vast areas of the sea and seabed that exist beyond any national jurisdiction. These places belong to the world; Gjerde's work helps the world work together to protect them.""}",en
Kim Gorgens,{0: ['neuropsychologist']},"{0: ""Kim Gorgens studies the brain's response to injury -- and advocates that we mind our (gray) matter.""}",en
Zainab Salbi,{0: ['activist and social entrepreneur']},"{0: 'Iraqi-born Zainab Salbi founded and runs Women for Women International, and has dedicated her life to helping women in war-torn regions rebuild their lives and communities.'}",en
Jason Fried,{0: ['software entrepreneur']},"{0: 'Jason Fried thinks deeply about collaboration, productivity and the nature of work. He\'s the co-founder of 37signals, makers of Basecamp and other web-based collaboration tools, and co-author of ""Rework.""'}",en
Dan Phillips,{0: ['builder']},"{0: 'Dan Phillips builds homes out of recycled and reclaimed materials in Huntsville, Texas.'}",en
Birke Baehr,{0: ['aspiring organic farmer']},"{0: ""Birke Baehr wants us to know how our food is made, where it comes from, and what's in it. At age 11, he's planning a career as an organic farmer.""}",en
William Ury,{0: ['mediator']},"{0: 'William Ury is a mediator, writer and speaker, working with conflicts ranging from family feuds to boardroom battles to ethnic wars. He\'s the author of ""Getting to Yes.""'}",en
Marcel Dicke,{0: ['ecological entomologist']},"{0: 'Marcel Dicke wants us to reconsider our relationship with insects, promoting bugs as a tasty -- and ecologically sound -- alternative to meat in an increasingly hungry world.'}",en
Bart Weetjens,{0: ['product developer']},"{0: 'The founder of Apopo, Bart Weet\xadjens, is train\xading rats to detect landmine explosives in minute amounts.'}",en
Arthur Potts Dawson,{0: ['green chef']},"{0: ""Arthur Potts Dawson wants us to take responsibility not just for the food we eat, but how we shop for and even dispose of it. And he's showing the way -- with impeccable taste.""}",en
Halla Tómasdóttir,{0: ['change catalyst']},"{0: 'Halla Tómasdóttir is the CEO of The B Team, a group of global leaders working together to transform business for a better world.'}",en
Tony Porter,"{0: ['author', 'educator', 'activist']}",{0: 'Tony Porter is an educator and activist who is internationally recognized for his effort to end violence against women.'},en
Kiran Bedi,{0: ['corrections pioneer']},"{0: ""Kiran Bedi was one of India's top cops -- tough, innovative and committed to social change. Now retired from the national police force, Bedi runs two NGOs that benefit rural and urban poor. ""}",en
Hanna Rosin,{0: ['journalist']},"{0: 'Hanna Rosin isn’t afraid to shine a skeptical spotlight on people’s cherished ideals, whether it’s politically correct dogma or the conservative Christian agenda.'}",en
Diana Laufenberg,{0: ['educator']},"{0: 'For over 15 years Diana has been a secondary social studies teacher in Wisconsin, Kansas, Arizona and Pennsylvania.'}",en
Rufus Griscom + Alisa Volkman,{0: ['website co-founders']},"{0: 'Rufus Griscom and Alisa Volkman co-founded Babble, a website for parents. They have three sons.'}",en
Rachel Botsman,{0: ['trust researcher']},"{0: 'Rachel Botsman is a recognized expert on how collaboration and trust enabled by digital technologies will change the way we live, work, bank and consume.'}",en
Beverly + Dereck Joubert,"{0: ['conservationists', 'filmmakers']}","{0: 'Documentary filmmakers Beverly and Dereck Joubert have worked to conserve wildlife for more than 25 years. As National Geographic Explorers in Residence, the couple influences public policy and perceptions.'}",en
Sheryl Sandberg,"{0: ['coo', 'facebook']}","{0: 'As the COO at the helm of Facebook, Sheryl Sandberg juggles the tasks of monetizing the world’s largest social networking site while keeping its users happy and engaged.'}",en
Majora Carter,{0: ['activist for environmental justice']},"{0: 'Majora Carter redefined the field of environmental equality, starting in the South Bronx at the turn of the century.  Now she is leading the local economic development movement across the USA.'}",en
Brené Brown,{0: ['vulnerability researcher']},"{0: 'Brené Brown studies vulnerability, courage, authenticity and shame.'}",en
Barry Schwartz,{0: ['psychologist']},"{0: ""Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life. Lately, working with Ken Sharpe, he's studying wisdom.""}",en
Arianna Huffington,{0: ['journalist']},"{0: 'Arianna Huffington is the co-founder and former editor-in-chief of The Huffington Post, a nationally syndicated columnist, and author of thirteen books. She is the co-host of “Left, Right & Center,” a political roundtable radio program.'}",en
Lesley Hazleton,"{0: ['writer', 'psychologist']}","{0: 'Writer, psychologist and former Middle East reporter Lesley Hazleton explores the vast and often terrifying arena in which politics and religion intersect. '}",en
Charles Limb,{0: ['researcher']},{0: 'Charles Limb is a doctor and a musician who researches the way musical creativity works in the brain.'},en
Deborah Rhodes,"{0: ['physician', 'cancer researcher']}",{0: 'Deborah Rhodes is an expert at managing breast-cancer risk. The director of the Mayo Clinic’s Executive Health Program is now testing a gamma camera that can see tumors that get missed by mammography.'},en
Neil Pasricha,"{0: ['thinker', 'writer', 'speaker', 'podcaster']}","{0: ""Neil Pasricha is one of the world's leading authorities on intentional living.""}",en
